State,Items Description,All,NIC-01,NIC-08,NIC-10,NIC-11,NIC-12,NIC-13,NIC-14,NIC-15,NIC-16,NIC-17,NIC-18,NIC-19,NIC-20,NIC-21,NIC-22,NIC-23,NIC-24,NIC-25,NIC-26,NIC-27,NIC-28,NIC-29,NIC-30,NIC-31,NIC-32,NIC-33,NIC-38,NIC-58,Other
Chandigarh,15. Total Output,458239,NA,NA,19762,9275,NA,NA,NA,NA,281,1777,962,NA,NA,NA,1072,4126,45263,11770,8051,7859,46167,4240,17769,351,NA,NA,NA,NA,279513
Chandigarh,16. Fuels Consumed,4661,NA,NA,558,82,NA,NA,NA,NA,12,20,14,NA,NA,NA,72,74,829,242,120,164,1139,87,493,9,NA,NA,NA,NA,744
Chandigarh,17. Materials Consumed,130652,NA,NA,16212,4829,NA,NA,NA,NA,169,1196,621,NA,NA,NA,780,3251,37700,7450,5556,6255,14048,3370,12444,149,NA,NA,NA,NA,16624
Chandigarh,18. Total Inputs,384971,NA,NA,17447,8359,NA,NA,NA,NA,223,1281,720,NA,NA,NA,883,3566,39481,8607,6655,6700,26634,3791,13775,171,NA,NA,NA,NA,246678
Chandigarh,19. Gross Value Added,73268,NA,NA,2315,916,NA,NA,NA,NA,58,496,242,NA,NA,NA,189,560,5782,3163,1396,1159,19533,449,3994,180,NA,NA,NA,NA,32835
Chandigarh,20. Depreciation,8033,NA,NA,328,174,NA,NA,NA,NA,1,89,45,NA,NA,NA,26,110,352,358,96,132,3692,83,459,2,NA,NA,NA,NA,2084
Chandigarh,21. Net Value Added,65235,NA,NA,1987,742,NA,NA,NA,NA,57,407,198,NA,NA,NA,162,449,5431,2805,1300,1026,15842,365,3535,179,NA,NA,NA,NA,30749
Chandigarh,22. Net Fixed Capital Formation,7108,NA,NA,-41,-133,NA,NA,NA,NA,-1,1096,34,NA,NA,NA,-6,-96,6653,307,12,10,-659,8,-173,5,NA,NA,NA,NA,91
Chandigarh,23. Gross Fixed Capital Formation,15140,NA,NA,287,41,NA,NA,NA,NA,0,1185,79,NA,NA,NA,21,14,7005,665,108,143,3033,92,286,6,NA,NA,NA,NA,2177
Chandigarh,24. Addition in Stock of,-2463,NA,NA,-125,514,NA,NA,NA,NA,-3,345,19,NA,NA,NA,31,302,610,-391,270,107,-192,-76,205,-14,NA,NA,NA,NA,-4066
Chandigarh,"(a) Materials, Fuels etc.",-3849,NA,NA,-55,79,NA,NA,NA,NA,-3,288,-21,NA,NA,NA,30,-222,602,-403,55,-32,95,-52,-3,-18,NA,NA,NA,NA,-4188
Chandigarh,(b) Semi-Finished Goods,604,NA,NA,4,4,NA,NA,NA,NA,9,3,6,NA,NA,NA,0,7,-37,5,183,104,-15,-12,252,1,NA,NA,NA,NA,89
Chandigarh, (c) Finished Goods,782,NA,NA,-74,431,NA,NA,NA,NA,-9,54,34,NA,NA,NA,1,517,45,7,32,35,-272,-12,-44,3,NA,NA,NA,NA,33
Chandigarh,25. Gross Capital Formation,12677,NA,NA,162,554,NA,NA,NA,NA,-3,1530,98,NA,NA,NA,51,317,7615,275,377,250,2841,16,491,-8,NA,NA,NA,NA,-1889
Chandigarh,26. Income,58080,NA,NA,1780,392,NA,NA,NA,NA,49,156,145,NA,NA,NA,121,277,5085,2604,1289,909,15244,388,3315,173,NA,NA,NA,NA,26153
Chandigarh,27. Profit,21779,NA,NA,404,-219,NA,NA,NA,NA,6,-53,24,NA,NA,NA,23,18,3867,616,-68,372,6839,207,1989,31,NA,NA,NA,NA,7725
Chhattishgarh,1. Number of Factories (no.),2809,7,1126,16,40,12,5,57,5,57,42,16,41,94,5,71,229,576,162,NA,33,65,3,41,14,4,5,6,NA,141
Chhattishgarh,2. Factories in Operation (no.),2534,7,925,15,39,11,5,57,5,57,39,16,27,87,5,71,221,550,160,NA,30,64,3,40,14,4,5,6,NA,136
Chhattishgarh,3. Fixed Capital,7793471,1261,142831,21263,2126,5634,47,2236,47,2236,11086,5137,14562,15210,111,13974,883388,5740680,99217,NA,96309,28017,1607,11356,284,218,320,672,NA,695925
Chhattishgarh,4. Physical Working Capital,1916121,3328,181808,9594,5016,5335,237,2024,237,2024,6210,1322,31071,17527,209,11177,129699,1304889,96113,NA,7485,23330,2951,14630,535,894,1724,227,NA,58785
Chhattishgarh,5. Working Capital,7022346,5220,123842,11782,6992,5686,225,2180,225,2180,5367,3842,17899,29421,239,9381,-60018,6905848,106950,NA,29623,16455,1351,6146,642,441,3708,477,NA,-211353
Chhattishgarh,6. Invested Capital,9709592,4589,324640,30857,7143,10969,284,4261,284,4261,17296,6458,45633,32738,320,25151,1013087,7045569,195330,NA,103793,51348,4558,25986,819,1112,2044,899,NA,754709
Chhattishgarh,7. Gross Value of Addition to Fixed Capital,1690599,201,39987,9981,316,987,30,73,30,73,952,609,2468,1887,1,2167,292983,1077540,4307,NA,9630,3513,30,2015,34,1,31,215,NA,240639
Chhattishgarh,8. Rent Paid for Fixed Assets,48981,1,434,1126,16,40,12,5,1,2,23,203,1341,75,1,31,3295,42904,79,NA,36,61,0,4,15,5,11,6,NA,254
Chhattishgarh,9. Outstanding Loan,3642340,0,106525,925,15,39,11,5,196,1691,6222,2356,4570,10765,164,9482,499500,2650026,69441,NA,76871,8319,10545,2993,400,276,190,551,NA,150883
Chhattishgarh,10. Interest Paid,472361,1,20473,142831,21263,2126,5634,47,14,204,1105,155,678,2435,34,1748,9934,395223,14672,NA,551,3979,252,1107,45,66,14,45,NA,15602
Chhattishgarh,11. Rent Received for Fixed Assets,3314,0,143,181808,9594,5016,5335,237,0,0,1,18,1,21,0,34,958,1770,0,NA,10,2,0,0,0,1,0,0,NA,336
Chhattishgarh,12. Interest Received,150054,0,2134,123842,11782,6992,5686,225,0,30,41,18,134,109,3,249,446,143222,581,NA,230,203,2,305,2,2,8,2,NA,1311
Chhattishgarh,13. Gross Value of Plant & Machinary,6251177,1175,75112,324640,30857,7143,10969,284,0,352,13445,3173,8222,16276,0,11950,727994,4501583,84820,NA,11568,26042,808,16378,0,70,89,0,NA,707845
Chhattishgarh,14. Value of Product and By-Product,10555980,12995,679034,39987,9981,316,987,30,338,4451,27661,6802,40046,83014,801,56382,862107,8017796,217074,NA,52247,60191,10422,48249,882,2579,833,344,NA,257840
Chhattishgarh,15. Total Output,11977648,12995,1016533,434,120,72,6,1,338,4639,28951,20070,64532,90695,892,60597,885771,8695445,228341,NA,55081,67086,10481,50635,1699,2768,9678,939,NA,536663
Chhattishgarh,16. Fuels Consumed,1116519,103,29124,106525,23168,5872,1334,196,16,253,4182,397,851,2602,8,3332,165379,795291,11038,NA,900,2401,82,892,50,14,43,26,NA,93690
Chhattishgarh,17. Materials Consumed,6873188,5470,553646,20473,1890,781,1352,14,218,3069,18945,11836,24558,65549,633,45796,278444,5426813,167096,NA,36124,41741,8929,34416,561,2461,547,232,NA,68299
Chhattishgarh,18. Total Inputs,9751457,5977,933814,143,2,17,0,0,261,3731,25943,14505,52857,78528,760,51073,615608,7101228,189153,NA,49726,52332,9436,39841,1326,2671,7025,829,NA,402673
Chhattishgarh,19. Gross Value Added,2226191,7018,82719,2134,848,149,26,0,77,908,3008,5565,11675,12167,132,9524,270163,1594217,39188,NA,5355,14754,1045,10794,373,97,2653,110,NA,133990
Chhattishgarh,20. Depreciation,411066,284,16961,75112,20432,609,23231,0,6,111,989,737,1887,1846,17,2126,62743,264133,7959,NA,936,3506,129,1791,48,7,47,32,NA,41173
Chhattishgarh,21. Net Value Added,1815125,6734,65758,679034,89138,8810,15942,338,70,798,2019,4829,9788,10321,115,7398,207420,1330084,31229,NA,4419,11248,916,9003,325,90,2606,78,NA,92816
Chhattishgarh,22. Net Fixed Capital Formation,995938,-86,13677,1016533,97647,15927,19246,338,24,-122,-356,-265,575,-286,-16,-1140,225292,558278,-5319,NA,9315,-406,-98,-863,-21,-6,-12,182,NA,194713
Chhattishgarh,23. Gross Fixed Capital Formation,1407004,198,30638,29124,3903,205,1736,16,30,-11,634,472,2462,1560,1,986,288036,822411,2640,NA,10250,3100,30,928,28,1,35,214,NA,235887
