State_UT,Year,"Agriculture, forestry and fishing",Crops,Livestock,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Primary,Manufacturing,"Electricity, gas, water supply & other utility services",Construction,Secondary,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration,Other services,Tertiary,TOTAL GSVA at basic prices,Taxes on Products,Subsidies on products,Gross State Domestic Product,Population ('00),Per Capita GSDP (Rs.)
Andaman & Nicobar Islands,2011-12,59736.99301,26564.66046,13672.78475,4043.848308,15455.69949,2867.168317,62604.16133,6333.782923,15924.13755,53695.09916,75953.01963,33936.69182,31581.20328,2355.488538,46482.01329,NA,14799.88145,6654.088885,2143.075823,18357.31275,24.865,4502.789372,12774.45279,32303.74734,74782.81952,64942.0088,265221.7336,403778.9145,4416,10328,397866.9145,3860,103074
Telengana,2015-16,5239809,2488459,2393602,176973,180775,1502232,6742041,6080178,533212,2652430,9265820,5858422,5196950,661472,3565546,170454,2040628,0,138645,449001,19040,747778,3086207,8606130,1607965,3579288,26303558,42311419,5057400,929900,46438919,371340,125058
Telengana,2016-17,5871918,2962005,2546059,174510,189344,1736419,7608337,6511871,520470,2811576,9843917,6430566,5727351,703215,3963242,172943,2285515,0,184927,505773,21439,792645,3388038,9223278,1650401,3801654,28457179,45909433,6053000,833800,51128633,375050,136325
Tripura,2011-12,511201,318959,33664,109763,48815,118123,629324,72651,44297,148327,265275,226839,226839,NA,84316,224,NA,NA,NA,46677,151,37264,57103,119572,241678,255446,984954,1879553,103607,62319,1920841,37000,51915
Tripura,2012-13,550569,337685,36718,109650,66516,123568,674137,115351,53862,149833,319046,262147,262147,NA,76271,248,NA,NA,NA,62940,182,12901,65436,133892,264358,257379,1059483,2052666,109905,75274,2087297,37440,55750
Tripura,2013-14,646611,367407,69506,131213,78485,124916,771527,107836,45538,167203,320577,250939,250939,NA,79274,817,NA,NA,NA,64414,193,13850,69287,144245,273604,325136,1142485,2234589,128765,81443,2281911,37890,60225
Tripura,2014-15,705272,403012,75565,142734,83961,134337,839609,121549,50049,185898,357496,278315,278315,NA,104922,882,NA,NA,NA,85900,239,17900,75904,168091,303616,334219,1265067,2462172,125375,78915,2508632,38350,65414
Uttar Pradesh,2011-12,18324305,12415418,4382274,1249516,277097,653517,18977822,8763582,926846,8487701,18178129,6946589,6162196,784393,4048142,1066108,1976901,1496,7630,9842,111006,875159,2518230,9745417,4234830,3540115,31033322,68189273,7063430,2847848,72404855,2015910,35917
Uttar Pradesh,2012-13,19160893,13040500,4596316,1234036,290041,696725,19857618,9144724,980598,8573753,18699075,6946796,6173854,772942,4617916,1137692,2336123,725,13640,11128,113554,1005054,2652258,10240561,4726108,3568849,32752488,71309181,7217636,3034000,75492817,2046780,36884
Uttar Pradesh,2013-14,19070840,12746949,4813669,1210684,299538,886021,19956861,10418284,1108408,8671274,20197966,7646926,6779085,867841,5166333,1217010,2603765,460,13653,12823,119556,1199067,2727046,10960347,4846772,3746587,35094011,75248838,7742729,2668300,80323267,2078120,38652
Uttar Pradesh,2014-15,18534936,11938796,5089886,1187513,318741,924552,19459488,10968287,1169379,9325504,21463170,8116973,7290918,826055,6317166,1301857,3315905,570,30585,13648,143484,1511117,2803943,12088771,5236732,4176839,38740424,79663082,8483011,2758900,85387193,2109940,40469
Uttar Pradesh,2015-16,19624905,12765136,5354255,1161761,343753,944487,20569392,11714606,1256874,9627227,22598707,8668927,7786700,882227,6751399,1273216,3691292,634,34048,15193,156388,1580628,3073122,13271191,5624247,4517547,41906435,85074534,9239494,2839270,91474758,2110940,43334
Uttarakhand,2011-12,1330208,764026,287787,274833,3562,186083,1516291,4365135,398079,883766,5646980,1192897,1013998,178899,703707,14140,218488,NA,652,NA,579,469848,293318,588825,412001,498856,3689604,10852875,919682,220207,11552350,101650,113648
Uttarakhand,2012-13,1355631,772456,308813,270748,3614,181554,1537185,4891525,427949,880181,6199655,1306187,1129991,176196,767141,15753,241308,NA,1142,NA,629,508309,296220,639825,295386,619019,3923778,11660618,988690,260253,12389055,103020,120259
Uttarakhand,2013-14,1339653,725587,328324,282084,3658,294068,1633721,5078350,431792,1027310,6537452,1419408,1254236,165172,838380,15974,252711,NA,1900,NA,647,567148,314298,625463,426811,727454,4351814,12522987,1110825,224938,13408874,104410,128425
Uttarakhand,2014-15,1349161,724374,334828,286222,3737,192610,1541771,5351515,471648,1030560,6853723,1480218,1302711,177507,928448,18186,267573,NA,3388,-66,575,638792,326962,683704,483390,834265,4736987,13132481,1210816,264245,14079052,105820,133047
Uttarakhand,2015-16,1406001,750822,347446,303936,3797,236717,1642718,5444564,516553,1330096,7291213,1600023,1419892,180131,1052007,20780,314847,NA,6544,NA,580,709256,339083,737825,556165,1009250,5294353,14228284,1359529,283670,15304143,107240,142709
